,name,price,desc
0,Toyota Land Cruiser 4.6 V8 AX 2018 White,"KSh 9,000,000","Available now
Call or text for more information"
1,Toyota Hilux SR5+ 4x4 2017 Black,"KSh 4,999,990","house of pickups 
*2017 toyota hilux invincible x* | *new shape* | black in color | 2400cc 2gd..."
2,Toyota Land Cruiser 2004 Teal,"KSh 3,150,000","Toyota Land Cruiser VX
2004 Model
Diesel engine
Original paint
With new tyres
With sunroof
7 leather..."
3,Toyota Allion 2006 Silver,"KSh 565,000",This unit is in a buy and drive condition well maintained with original parts and clean interior on...
4,Toyota Land Cruiser 2010 Black,"KSh 4,550,000"," *2010 TOYOTA LANDCRUISER V8 ZX 200 Series* /Sunroof/
_Specs_
4600CC Petrol v8 :: 8 premium leather..."
5,Toyota Corolla Fielder 2008 Blue,"KSh 790,000","Selling this neat Fielder
Rating 1500cc
Yom 2008
Price 840K
Viewing at Kasarani"
6,Toyota bB 2011 Black,"KSh 569,000","Toyota bb kck || yom 2011 || 1300ccautomatic 2wd || accident free & clean  || buy & drive home
..."
7,Toyota Crown 2018 White,"KSh 3,200,000","Comes with a TRD version,fully sport edition,with leather seats,electric seats and sunroof,hire..."
8,Toyota Hilux 2017 White,"KSh 2,450,000",Toyota hilux revo pickup diff lock highlider manual gear year 2017 diesel engine speed very clean...
9,Toyota Probox 2017 White,"KSh 1,275,000","Air Conditioning, Power Steering"
10,Toyota Hilux 2016 Silver,"KSh 6,500,000","Toyota Hilux 
2016 
Diesel"
11,Toyota Land Cruiser 100 4.2 TD Executive 2005 Brown,"KSh 3,400,000","TOYOTA LAND CRUISER
 *100 series* 
Automatic transmission
 _Zigzag gear_ 
 *4200cc diesel*..."
12,Toyota Noah 1.8 FWD Hybrid (7 seater) 2016 Silver,"KSh 2,400,000","Noah in good condition, Terms of payment bank finance, trade inn and hire purchase accepted."
13,Toyota Noah 2006 Silver,"KSh 620,000",Toyota Noah on sale. In good condition buy and drive. Very neat and smart interior excellent...
14,Toyota Hilux 2020 White,"KSh 5,300,000",A very nice and clean fully loaded Toyota hilux double cabbin white colour new model.
15,Toyota Vellfire 2017 Black,"KSh 4,150,000","Sunroof,we do trade in too."
16,Toyota Land Cruiser Prado 2.8 D-4D 2016 Matt Black,"KSh 5,999,999","Features ; 
- 2800cc 1GDFTV diesel engine
- 6 speed automatic transmission
- Five Fabric seats
- 4WD..."
17,Toyota Harrier 2.0 4WD 2014 Blue,"KSh 2,850,000","Toyota Harrier 
2014 Model || 2000cc || Automatic Transmission ||Key Start || Fabric Seats || Power..."
18,Toyota Vitz 2017 Blue,"KSh 1,650,000","Rear Wiper, CD Player, Central Locking, Air Conditioning, Power Steering, Power Windows, ABS, Air..."
19,Toyota Land Cruiser Prado 2.8 2017 White,"KSh 8,200,000","Toyota landcruiser prado 2017 
Manual transmission 
2800cc
Back tyre"
